X,Y,Z
70,132,-218
54,152,-206
48,154,-200
52,150,-210
48,154,-190
46,166,-194
38,156,-216
50,160,-186
50,152,-192
50,154,-200
50,148,-194
42,166,-170
44,166,-176
50,160,-180
50,156,-182
48,146,-186
46,160,-206
44,138,-222
50,148,-210
48,150,-206
50,150,-200
52,150,-192
46,166,-176
36,168,-186
50,156,-184
46,158,-198
52,156,-200
50,152,-200
60,156,-172
58,142,-172
50,156,-172
48,160,-180
48,154,-186
48,140,-196
56,134,-220
52,146,-208
50,152,-204
52,148,-198
50,154,-192
46,168,-174
46,166,-178
50,156,-178
50,152,-182
50,156,-188
48,146,-196
64,138,-212
48,144,-208
48,158,-212
54,150,-204
50,156,-194
42,166,-178
44,160,-176
50,160,-180
52,150,-192
48,152,-192
42,168,-186
38,162,-176
54,158,-184
56,146,-192
46,152,-192
54,150,-192
62,132,-210
60,134,-210
50,152,-204
48,156,-192
52,156,-192
48,164,-186
30,160,-214
52,154,-196
54,154,-204
52,152,-202
60,150,-194
50,170,-176
54,162,-176
50,160,-186
52,150,-176
56,152,-188
54,144,-200
68,138,-214
56,148,-210
50,154,-214
54,150,-204
52,154,-194
62,166,-176
42,166,-176
50,158,-176
54,150,-182
52,150,-188
44,164,-196
42,154,-202
56,142,-208
50,152,-202
50,158,-194
52,156,-194
40,166,-184
34,162,-186
50,156,-190
54,154,-188
50,152,-194
54,148,-194
46,166,-180
44,170,-176
52,156,-194
48,152,-198
52,156,-192
44,164,-182
38,164,-176
54,156,-190
54,148,-190
54,152,-180
56,146,-200
64,132,-218
54,144,-212
50,156,-212
50,152,-200
54,154,-200
60,156,-168
64,140,-178
50,154,-182
54,152,-184
52,146,-186
54,140,-198
52,136,-220
52,148,-212
52,154,-204
52,148,-198
52,146,-192
62,140,-176
56,146,-178
50,150,-202
50,152,-192
54,152,-196
44,160,-180
40,162,-176
50,162,-180
48,152,-184
56,144,-202
48,156,-200
64,152,-172
56,138,-184
44,154,-190
48,154,-176
56,150,-186
52,142,-196
66,134,-218
52,144,-208
48,152,-214
50,154,-200
56,146,-196
46,166,-178
56,152,-178
58,148,-200
52,150,-202
50,152,-194
40,166,-176
48,166,-184
50,160,-186
54,150,-186
52,148,-190
54,144,-196
54,134,-216
54,142,-210
48,154,-210
56,146,-212
50,146,-194
46,168,-176
48,164,-180
50,152,-184
56,146,-176
52,150,-184
48,160,-200
44,152,-222
52,156,-202
50,154,-198
52,148,-206
56,148,-196
64,132,-210
60,142,-214
56,146,-206
54,142,-208
52,148,-192
50,140,-178
34,162,-188
52,158,-184
54,144,-180
56,146,-210
56,152,-200
62,174,-170
50,166,-176
46,154,-182
56,146,-182
52,146,-182
48,144,-200
68,130,-218
54,156,-208
56,150,-190
52,152,-194
52,142,-200
60,134,-218
50,146,-210
52,154,-192
56,152,-186
48,146,-196
36,156,-218
56,154,-206
52,144,-190
58,150,-182
52,140,-198
70,130,-212
50,142,-208
52,150,-210
56,148,-202
52,152,-192
46,168,-172
44,166,-176
50,150,-176
52,148,-178
54,152,-180
50,142,-198
40,144,-218
52,156,-208
56,152,-198
56,144,-202
58,150,-194
68,136,-174
32,148,-216
52,152,-194
56,150,-186
54,150,-206
48,150,-198
62,128,-176
30,162,-194
46,166,-180
62,142,-202
48,154,-212
60,152,-186
48,152,-198
50,152,-184
56,154,-192
52,152,-194
46,166,-200
44,172,-186
64,136,-172
46,164,-200
58,148,-196
54,144,-206
54,158,-184
50,148,-202
56,150,-194
56,152,-192
52,148,-202
54,150,-192
54,152,-192
56,156,-194
52,146,-198
50,162,-196
58,140,-180
64,132,-210
32,162,-202
64,142,-188
52,144,-210
54,158,-182
54,152,-192
50,152,-204
52,152,-190
52,152,-202
54,150,-190
54,154,-198
56,148,-192
50,162,-206
52,168,-180
68,134,-166
34,158,-196
56,142,-206
50,158,-198
50,152,-184
54,156,-202
50,152,-182
52,146,-202
52,148,-198
54,152,-200
60,146,-192
52,144,-196
66,138,-174
34,164,-200
52,166,-182
50,144,-216
52,160,-186
50,150,-206
52,150,-184
52,148,-202
50,148,-192
54,154,-192
58,152,-192
48,144,-190
52,170,-176
58,138,-174
42,144,-220
46,166,-182
60,144,-204
56,156,-206
52,162,-186
48,152,-190
48,158,-204
48,150,-184
48,152,-196
50,156,-192
52,150,-184
54,146,-198
56,150,-200
48,166,-198
48,166,-184
62,130,-170
54,130,-212
48,168,-202
60,140,-208
50,146,-208
50,162,-176
48,156,-194
54,156,-206
50,156,-204
50,150,-200
48,150,-192
56,148,-196
52,146,-192
44,164,-184
64,132,-170
44,154,-216
46,166,-184
52,162,-182
48,148,-180
50,150,-210
52,154,-186
54,148,-200
54,152,-190
52,154,-194
60,148,-192
48,164,-198
46,168,-192
62,136,-180
46,138,-210
42,168,-202
58,142,-192
54,148,-212
52,152,-182
50,154,-202
56,150,-178
48,148,-202
52,156,-200
52,152,-190
50,148,-186
54,152,-192
56,148,-194
50,142,-192
42,168,-196
62,146,-178
66,132,-174
36,160,-206
48,166,-182
60,138,-214
54,152,-212
50,156,-176
52,152,-200
48,152,-200
52,148,-192
58,158,-198
52,150,-200
54,150,-184
50,156,-192
48,150,-188
50,154,-200
52,146,-198
62,156,-180
64,136,-174
32,156,-204
56,140,-206
50,148,-210
48,160,-188
50,156,-204
50,154,-180
50,152,-198
52,156,-192
50,152,-190
50,148,-192
48,144,-194
48,162,-196
62,150,-176
64,132,-186
32,160,-202
46,166,-186
60,142,-206
52,160,-210
56,158,-184
54,156,-208
54,162,-186
48,154,-190
48,148,-198
48,160,-190
52,158,-192
54,154,-190
56,152,-196
46,148,-196
44,166,-184
64,132,-172
46,134,-208
32,164,-196
64,140,-180
52,146,-208
54,156,-186
50,154,-184
46,150,-208
52,160,-190
54,152,-192
52,150,-204
48,152,-190
56,152,-196
56,150,-200
46,146,-194
42,164,-200
64,142,-180
64,134,-218
60,140,-194
56,144,-210
54,156,-188
50,154,-192
48,148,-198
52,152,-192
54,150,-196
56,142,-198
48,166,-202
66,132,-174
36,158,-206
48,166,-176
48,146,-214
54,154,-186
50,156,-192
54,146,-190
54,144,-202
48,152,-192
50,152,-192
52,148,-196
50,160,-198
62,140,-174
54,130,-212
44,162,-198
60,138,-194
56,146,-212
50,160,-188
48,150,-188
48,156,-208
50,152,-182
52,152,-200
54,148,-188
52,156,-192
52,148,-192
60,150,-192
48,166,-202
48,168,-182
64,134,-170
50,136,-210
40,160,-202
64,146,-192
50,144,-210
54,154,-178
46,158,-182
52,152,-208
50,146,-176
54,152,-188
54,152,-192
54,144,-194
48,162,-198
50,166,-190
66,132,-178
48,170,-192
60,142,-208
52,148,-204
52,146,-208
54,150,-180
54,152,-194
54,150,-186
48,154,-194
58,144,-192
50,164,-198
48,168,-182
66,140,-168
44,158,-208
48,164,-186
60,140,-208
50,154,-210
52,158,-182
48,152,-198
48,152,-188
56,152,-188
50,148,-208
54,148,-192
52,148,-190
50,152,-192
56,142,-192
54,148,-192
46,164,-198
64,172,-182
66,134,-170
40,144,-212
36,158,-200
60,148,-174
52,142,-206
54,152,-206
48,152,-176
48,152,-204
54,158,-186
50,152,-200
48,152,-200
52,154,-192
46,166,-202
58,154,-182
66,134,-174
38,160,-194
50,156,-172
56,140,-216
54,158,-188
50,146,-202
46,160,-186
48,152,-188
52,150,-192
56,144,-190
48,162,-202
48,164,-184
62,140,-168
40,160,-196
56,140,-180
48,150,-206
48,156,-180
54,150,-202
52,158,-182
52,152,-196
48,148,-190
54,150,-192
52,150,-192
52,142,-202
44,168,-194
64,128,-174
44,142,-226
42,162,-200
64,142,-192
52,148,-202
52,156,-186
48,152,-184
52,150,-202
54,156,-186
56,144,-194
48,150,-200
50,154,-188
50,154,-196
50,152,-194
52,146,-192
52,144,-196
48,166,-206
58,140,-174
42,142,-218
48,164,-200
64,144,-194
52,160,-212
56,152,-182
54,152,-208
56,154,-184
60,150,-198
44,154,-198
48,154,-180
56,148,-196
52,148,-194
44,166,-198
64,138,-174
42,160,-212
42,160,-200
46,152,-210
54,150,-184
52,156,-178
54,154,-202
52,152,-186
54,146,-200
52,150,-204
52,152,-192
52,158,-192
52,150,-196
60,150,-192
48,150,-198
56,154,-176
70,132,-194
44,160,-198
58,138,-180
48,148,-204
48,160,-184
52,154,-178
54,146,-208
48,158,-188
52,150,-188
52,152,-208
46,152,-192
50,154,-190
52,154,-192
58,148,-194
46,162,-198
44,164,-194
64,140,-172
52,134,-210
36,164,-196
52,146,-182
60,140,-208
54,154,-204
54,152,-178
50,154,-204
50,148,-200
58,148,-196
54,152,-188
52,146,-190
62,170,-170
44,168,-184
54,160,-176
56,154,-186
52,154,-182
50,144,-194
66,132,-212
50,150,-210
52,150,-202
48,152,-204
50,150,-196
64,150,-172
58,140,-200
48,158,-198
48,154,-196
54,152,-200
60,168,-174
60,138,-210
54,150,-202
54,148,-200
52,152,-192
42,172,-176
40,166,-176
52,152,-176
54,152,-174
50,156,-188
50,158,-202
42,154,-224
52,152,-202
52,152,-186
54,148,-186
54,144,-200
64,130,-216
50,142,-208
48,154,-200
56,152,-202
58,142,-196
62,134,-204
64,136,-210
50,152,-208
52,152,-192
50,152,-192
40,164,-180
46,160,-182
54,156,-180
50,154,-190
48,150,-188
54,144,-200
64,136,-208
64,136,-214
58,150,-202
48,148,-202
50,152,-192
44,166,-182
44,164,-180
54,160,-184
58,148,-182
54,156,-190
48,146,-200
48,150,-222
56,154,-190
50,148,-182
54,146,-186
54,144,-200
62,132,-210
58,142,-210
50,154,-202
50,154,-202
56,152,-196
64,154,-170
54,152,-178
48,156,-188
48,152,-190
52,156,-192
48,166,-202
34,158,-222
50,158,-214
52,154,-196
56,148,-200
56,152,-194
62,142,-170
64,140,-182
48,152,-174
48,152,-180
54,150,-186
52,142,-200
70,138,-214
60,140,-212
52,150,-200
46,156,-190
54,152,-192
46,166,-176
44,160,-176
54,160,-182
54,148,-206
48,154,-208
48,148,-192
42,166,-182
42,162,-176
54,162,-182
56,152,-202
52,152,-200
54,152,-196
60,162,-170
54,154,-176
54,152,-194
48,154,-200
56,152,-192
44,166,-180
66,142,-174
48,154,-180
52,158,-196
50,150,-188
48,144,-200
34,158,-220
52,162,-186
54,150,-190
54,150,-186
56,150,-198
64,136,-208
60,138,-212
52,156,-206
50,148,-192
56,150,-190
46,164,-176
46,160,-172
50,160,-184
56,150,-184
54,150,-188
52,144,-194
54,130,-218
54,144,-210
54,152,-206
50,152,-196
54,146,-192
64,134,-200
56,142,-204
52,146,-206
56,148,-188
50,152,-192
50,152,-196
68,134,-210
56,144,-212
54,156,-180
56,150,-184
54,156,-188
52,152,-202
64,150,-164
52,150,-178
54,156,-194
48,156,-184
52,154,-202
50,160,-182
54,152,-184
52,146,-200
52,154,-192
54,152,-192
56,144,-192
46,164,-204
62,138,-180
66,134,-200
36,154,-204
50,162,-180
58,144,-208
54,156,-206
50,150,-180
52,154,-202
54,158,-186
50,150,-192
56,150,-198
48,152,-188
54,152,-196
54,148,-196
48,146,-194
48,162,-202
58,148,-180
70,134,-176
30,156,-198
48,166,-182
64,140,-198
56,144,-210
50,158,-182
54,150,-192
52,150,-204
56,150,-182
50,152,-202
48,154,-180
52,154,-192
62,152,-186
48,146,-196
46,158,-200
60,140,-174
30,160,-200
50,168,-186
62,136,-212
48,152,-184
58,152,-192
50,156,-194
50,138,-200
54,134,-214
56,154,-214
52,154,-204
52,152,-210
52,152,-196
64,138,-190
64,138,-208
54,150,-208
54,150,-198
56,156,-192
42,166,-180
44,164,-172
52,160,-184
50,154,-190
56,150,-186
44,154,-198
44,140,-214
50,154,-210
52,152,-202
52,150,-206
54,150,-196
58,156,-166
58,142,-190
52,154,-198
52,152,-184
50,150,-192
46,160,-184
32,166,-180
46,162,-176
54,154,-180
52,154,-194
50,160,-200
28,160,-216
50,158,-202
50,150,-190
56,150,-188
48,142,-200
70,134,-210
54,154,-206
48,150,-200
50,152,-198
58,150,-196
52,168,-178
56,154,-174
50,156,-176
54,152,-194
46,158,-200
44,168,-178
32,168,-182
48,160,-188
54,152,-188
54,150,-186
50,142,-200
50,132,-220
50,158,-188
56,152,-186
52,152,-190
54,146,-198
40,144,-218
52,156,-198
54,144,-190
56,152,-190
50,148,-200
68,132,-218
60,142,-212
50,152,-206
48,152,-204
60,148,-200
64,152,-168
58,142,-180
48,152,-182
48,154,-176
50,146,-186
44,146,-200
70,132,-218
50,144,-210
54,154,-204
48,154,-204
48,158,-196
48,168,-174
46,168,-174
50,162,-184
54,148,-186
56,150,-196
44,158,-202
52,134,-216
56,146,-208
50,154,-202
52,150,-208
50,150,-192
60,174,-176
48,164,-172
52,152,-178
52,152,-192
52,150,-186
58,140,-194
68,136,-218
64,142,-188
52,150,-182
50,152,-180
50,152,-198
48,160,-198
34,156,-218
54,158,-188
54,150,-180
54,142,-192
58,148,-196
66,142,-204
62,140,-212
52,150,-204
54,150,-208
50,152,-196
44,168,-174
46,166,-178
52,150,-178
52,150,-182
50,152,-190
